id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.02,2014-03-27,0.22884900892215096,5.588859649122807,18.866185185185184,4.788444444444445,,,,12.328571428571427,10.17075,,,4.477533333333333,,1.0,0.0,0.5,7.0,13.895509670626735,
AS14.02,2014-03-28,0.26159832807813954,5.574072164948453,14.848587301587301,10.428263157894737,,,,12.5669,13.953054054054055,,,,,1.0,-0.6,0.6,7.0,14.901913038198499,1.0
AS14.02,2014-03-29,0.432469355060395,5.558337662337663,15.396125,11.649,,,,13.21025,21.052666666666667,14.031483870967742,,,,1.0,-0.75,0.25,7.0,11.638175981521604,
AS14.02,2014-03-30,0.24188730879396786,6.087752808988763,16.64916129032258,10.793555555555555,,,,7.548533333333334,10.591,,,,,1.0,-1.0,0.75,7.0,12.926466015936102,1.0
AS14.02,2014-03-31,0.15637292366427655,6.311318181818182,16.512076923076922,6.154545454545455,,,,13.6235,11.968153846153847,,,,,1.0,-0.8,0.4,7.0,16.09152317205012,1.0
AS14.02,2014-04-01,0.26196053218905446,9.011603603603604,12.552648148148148,15.395199999999999,,,,20.712555555555557,11.242411764705883,14.555600000000002,,,,1.0,-0.2,0.8,7.0,14.887670949197584,1.0
AS14.02,2014-04-02,0.3191205617996335,6.839129770992367,20.116927710843374,10.43825,,,,18.392,12.22696153846154,,,,,1.0,-0.6,-0.2,6.0,14.033605100242955,
AS14.02,2014-04-03,0.32250583990998866,4.942909090909091,19.3625,6.3417,,,,11.2264,13.602333333333332,18.5384,,,,1.0,-0.25,0.0,6.0,18.951852077563135,
AS14.02,2014-04-04,0.22727035660896047,6.823816326530612,17.53969230769231,7.903666666666666,,,,14.885200000000001,9.484428571428571,,,,,1.0,-1.2,0.2,6.0,16.88094406361347,
AS14.02,2014-04-05,0.32191972248052525,5.05875,16.985352941176473,10.386880000000001,,,,12.612124999999999,16.109666666666666,15.933533333333333,,,,1.0,0.0,0.6,7.0,15.471072733041012,1.0
