id,time,time_period,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-30,8-16,0.19444827719223282,4.804838235294118,26.26707692307692,29.23266666666667,10.045,,,29.214800000000004,7.120857142857143,17.049875,,14.18275,,1.0,0.5,0.5,7.5,52.420046877115965,
AS14.01,2014-04-30,16-24,0.25870609993000887,10.36468,42.01403846153846,36.17490909090909,114.96233333333333,,,13.236333333333334,19.66,,,55.564,,,-1.0,1.0,8.0,116.0298999786377,
AS14.01,2014-05-01,0-8,0.008403361344537825,4.8248,49.25161111111111,79.91,53.527,,,,299.4485,,,21.2202,,,,,,688.3421999931345,
AS14.01,2014-05-01,8-16,0.039931769167844126,11.138681159420289,30.527275862068965,,23.90717391304348,,28.098,8.032666666666666,275.69633333333337,,,,,1.0,-1.0,1.0,8.0,76.89998245239252,
AS14.01,2014-05-01,16-24,0.06286067393058915,9.532673267326732,44.274392,51.841,8.376444444444445,,,6.777333333333334,43.458800000000004,,,11.473400000000002,,1.0,0.0,1.0,8.0,59.62745735441991,1.0
AS14.01,2014-05-02,0-8,0.018907563025210114,5.9973125,61.496611111111115,39.426,,,,,16.063,,,,,,,,,51.923869558002636,
AS14.01,2014-05-02,8-16,0.10281251339791221,8.156307692307692,28.807946428571427,62.894000000000005,7.427999999999999,,,6.056333333333334,63.67066666666667,,,5.017,,,-0.3333333333333333,1.0,7.666666666666667,48.1757547135623,
AS14.01,2014-05-02,16-24,0.11030298146720473,5.295211538461539,83.96345161290323,62.39,42.40633333333333,,,7.137,43.399307692307694,,,6.066,,,0.0,1.0,7.5,231.4480612472612,
AS14.01,2014-05-03,0-8,0.0,14.030666666666667,129.495,,,,,,,,,,,,,,,85.84500002861006,
AS14.01,2014-05-03,8-16,0.06418321348530723,7.481653846153846,98.34683333333334,345.633,37.039125,,,8.664,33.3975,,30.102,31.40125,,,-0.5,1.0,8.0,187.14462073095913,1.0
AS14.01,2014-05-03,16-24,0.1510394412002089,14.00517391304348,56.94325,43.0095,,,,7.747,14.4024,143.631,,,,,0.0,1.0,8.0,58.798909078944796,
AS14.01,2014-05-04,0-8,0.26692263540780486,35.54968421052632,21.462058823529414,,,,,,17.091,,,,,,,,,23.3650416433811,
